# koodo word-structure pack v1 (glosses) | OpenRussian (github.com/Badestrand/russian-dictionary), CC BY-SA 4.0
Никитский		aus Nikitskij
Норвегия	Norway	Norwegen
Норильск		Norilsk
Одесса	Odessa, Odesa	Odessa
Олимп	Olympus	der Olymp
Омск		Omsk
Оренбург		Orenburg
Орёл	eagle	Adler
Осетия		Ossetien
Останкино		Ostankino (Stadtteil von Moskau)
ПТУ		technische Berufsschule
Пакистан		Pakistan
Палестина		Palästina
Париж	Paris	Paris
Паша	pasha	Pascha
Пермь		Perm (Geologie)
Персия		Persien (heute Iran)
Петербург	St Petersburg	Petersburg
Покров	cover, hearse-cloth, pall, cloak, shroud, integument	Decke
Полтава		Poltawa (Ortsname)
Польша	Poland	Polen
Португалия	Portugal	Portugal
Порфир	porphyry	Porphyr
Прага		Prag
Псков	Pskov	Pskow
Путин	Putin (surname)	Putin (Nachname)
Рига	threshing barn	Riga
Рим	Rome	Rom
Рождество	Christmas, Xmas	Weihnachten
Роман	novel, romance, love affair	Roman
Россия	Russia	Russland
Русь	The Medieval Russian State	Rus, Russland (poet), das alte Russland
Рязань		Rjasan
Самара		Samara (Ortsname)
Самарканд		Samarkand
Сахалин		Sachalin (Insel)
Сашин		Saschin (Herr S.)
Свердловск		Eigenname
Севастополь	Sevastopol	Sewastopol
Серафим	seraph	Seraph (Plural Seraphe / Seraphim)
Серёжка	earrings	Ohrring
Сибирь	Siberia	Sibirien
Сингапур		Singapur
Словения		Slowenien
Смоленск		Smolensk
Снегурка	Snow-Maiden	Weibchen von einem Gimpel / Dompfaff / Blutfink, Gimpelwe…
Снегурочка	Snow-Maiden for Xmas	Schneewittchen
Софа	sofa	Couch, Sofa
Спас		Erlöserkirche
Ставрополь		Stawropol
Сталин	Stalin	Stalin (hier sicher Josef Wissarionowitsch Stalin)
Сёма		Bedeutungselement
Таганский		Tagankaer, Taganka--, └ aus / von┘ der Taganka, auf die T…
Тверь		Twer (Ortsname)
Техас		Texas
Тибет		Tibet
Тихвин		Tichwino-, └ aus / von┘ Tichwino, auf Tichwino bezogen
Токио		Tokio, Tokyo
Тольятти		Toljatti, Togliatti
Толя		Eigenname
Тоня	fishery, fishing ground, haul	Angelplatz, Fischen von einem Angelplatz aus, Fang
Троица	Trinity, Whitsun, Whitsunday, trio	Pfingsten, Dreifaltigkeit, Trinität, Trinitatis
Тула		Tula
Тунис		Tunesien, Tunis
Туран		Turan (Flussname, Ortsname)
Турция	Turkey	die Türkei
Тюмень	Tyumen	Tjumen
Украина	Ukraine	die Ukraine
Урал	Ural	der Ural, der Uralfluß, das Uralgebirge
Харьков		Charkow (Stadt)
Хорватия	Croatia	Kroatien
Чад	fumes, smoke, intoxication	Qualm, Dunst, Rauch
Черкес	Circassian	Karatschai-Tscherkessien, Republik Karatschai-Tscherkessien
Чернигов		Tschernigpw (Stadt in der Ukraine)
Чернобыль		Tschernobyl / gemeiner Beifuß
Черногория	Montenegro	Montenegro
Чернь	common people, mob, niello	dichter Nadelwald, Mischwald
Чехословакия		Tschechoslowakei
Чили		Chile
Чита		Gepard, Jagdleopard – Acinonyx jubatus
Швейцария	Switzerland	die Schweiz
Шотландия	Scotland	Schottland
Эстония	Estonia	Estland
Япония	Japan	Japan
Ярославль		Jaroslawl (Stadt)
Ярославский		jaroslawler
Яша		Jascha (wbl. Vorname, abgeleitete Form)
Яшка		Jaschka (Hundename)
а	and	und, aber, dagegen, sondern
аароновец		Anhänger von Aaronow
аароновский		Aarons-
аароновщина		Aaronowschtschina, Aaronow-Gemeinschaft
абажур	lampshade, shade	Lampenschirm
абаканец		Einwohner von └ Abakan / Abakany ┘
абаканский		Abakaner, Abakan-, └ aus / von ┘ Abakan, auf Abakan bezogen
аббат	abbot, priest	Abt
аббатиса		Äbtissin
аббатский		Abt-
аббатство	abbey	Abtei
аббревиатура	abbreviation	Abkürzung
аббревиатурный	Abbreviated	Kurzwort-, Abkürzungs-
абвер		Abwehr
абверовец		Angehöriger / Mitarbeiter der Abwehr (des faschistischen …
абверовский		Abwehr-, auf die Abwehr bezogen (auf den faschistischen G…
аберрационный		Aberrations-, Abweichungs-
аберрация	aberration	Aberration, Abweichung
аберроскоп		Abberoskop
абзац	indentation, indention, paragraph	Absatz, Abschnitt
абзацный		Absatz-
абитуриент	university entrant	Studienanfänger, Studienbewerber
абитуриентка	university entrant	
абитуриентный		Abitur-
абитуриентский		Studienanfänger-, Studienbewerber-
аболиционист	abolitionist	Verfechter der gegen die Sklaverei gerichteten Bewegung
аболиционистка		Abolitionistin, Anhängerin / Verfechterin der gegen die S…
аболиционистский		abolitionistisch
абонемент	subscription, season ticket	Abonnement, Anrecht
абонементный	subscription	Abonnement-
абонент	subscriber, telephone subscriber	Abonnent, Teilnehmer
абонентка	subscriber, telephone subscriber	Abonnentin
абонентный	Adjective of абонент	Abonnenten-
абонентский		Abonnenten-, Abo-, Anrechts-, Vertragskunden-
абонировать	subscribe, take out a booking, reserve a seat	abonnieren
абонироваться	subscribe, take out a booking	abonniert haben
абордаж	boarding	Enterung, Entern
абордажный	Adjective of абордаж	Enter-
абориген	aboriginal	Ureinwohner
аборт	abortion, miscarriage	Abtreibung, Abortus, Fehlgeburt
абортивный	abortive	Abtreibungs-
абразив	abrasive	Schleifmittel
абразивный	abrasive	abrasiv, Schleif-, Schleifmittel-
абразия	abrasion	Abrasion
абрикос	apricot	Aprikose, Aprikosenbaum
абрикосный	Adjective of абрикос	Aprikosen-
абрикосовка		Aprikosengeist, Aprikosenwasser, Aprikosenlikör, Aprikose…
абрикосовый	apricot, made of apricots	Aprikosen-
абрис	contour, outline	Umrisszeichnung, Abriss
абсент	absinth	Absinth
абсентизм		Fernbleiben, Nichtteilnahme
абсолют	the absolute	absolute Freiheit
абсолютизирование		Verabsolutierung
абсолютизироваться		verabsolutiert werden
абсолютизм	absolutism	Absolutismus
абсолютист	absolutist	Anhänger des Absolutismus
абсолютистский	absolutist	absolutistisch, Absolutismus-
абсолютно	absolutely, perfectly, utterly	absolut
абсолютность		Absolutheit
абсолютный	absolute, perfect, utter	absolut
абсорбент		Absorbens, Absorptionsmittel, Absorber
абсорбировать	absorb	absorbieren, aufnehmen
абсорбироваться	be absorbed	absorbiert werden
абсорбтивный		absorbierend, aufnehmend
абсорбционный		Absorptions-
абсорбция	absorption	Absorption
абстрагирование		Abstrahierung, Abstraktion
абстрагировать	abstract	abstrahieren
абстрагироваться	disengage oneself	abstrahieren
абстракт		abstraktes Kunstwerk
абстрактность	abstruseness	Abstraktheit
абстрактный	abstract	abstrakt
абстракционизм	abstract art	Abstraktionismus, abstrakte Kunst
абстракционист	abstract artist	Abstraktionist, abstrakter Künstler
абстракционистка	abstract artist	Abstraktionistin, abstrakte └ Malerin / Bildhauerin / Kün…
абстракционистский	abstractionist	abstrakt
абстракция	abstraction	Abstraktion
абсурд	absurdity, nonsense	Unsinn
абсурдизм		absurdes Drama
абсурдист		Vertreter des absurden Dramas
абсурдность	absurdity, ineptitude	Absurdität
абсурдный	absurd, inept, preposterous	absurd, widersinnig
абхаз	Abkhazian	abchasisch
абхазец	Abkhazian	Abchase
абхазка	Abkhazian	Abchasin
абхазский	Abkhazian	abchasisch
авангард	advance-guard, advanced guard, van, vanguard	Vorhut, Avantgarde
авангардизм	avant-gardism	Avantgarde
авангардист		Avantgardist, Vertreter des Avantgardismus
авангардистский	avant-garde	avantgardistisch
авангардный	vanguard	avantgardistisch
аванзал	hall, ante-room	Vorhalle
аванпорт	outer harbour	Vorhafen
аванпост	outpost	Vorposten
аванс	advance, payment on account	Vorschuß
авансировать	advance money	vorstrecken, vorschießen, Vorschuss geben, bevorschussen
авантажный	fine	Vorteils-, vorteilhaft, günstig, einnehmend
авантюра	gamble, venture	Abenteuer
авантюризм	disposition to engage in ventures	Abenteurertum, Wahnwitz, übertriebene Risikobereitschaft,…
авантюрин		Aventurin-Quarz
авантюрист	adventurer	Abenteurer
авантюристический	adventurist	gewagt, riskant
авантюристка	adventuress	abenteuerlustige Frau
авантюрность		Abenteuerlichkeit
авантюрный	adventurous, venturesome, risky, adventure	Abenteuer-, abenteuerlich, wahnwitzig, zu riskant
аварец	Avar	Aware
аварийность	accident rate, breakdown rate	Unfallziffer, Unfallhäufigkeit, Zahl der Unfälle, Unfallg…
аварийный	repair, breakdown, wrecking, emergency	Not-, Flucht-, Unglücks-, verunglückt, Reparatur-, Reserve-
аварийщик	emergency worker, worker in breakdown service	risikoträchtiger Arbeiter
авария	accident, crash, breakdown	Unfall, Unglück, Havarie
аварка		Awarin
аварский	Avarian	awarisch
авгур	augur, soothsayer	Augure
август	August	August
августовский	Adjective of август	August-
авиабаза	air-base	Luftstützpunkt
авиабилет	aeroplane ticket	Flugkarte
авиадесант	airborne landing	Luftlandung
авиазвено		Fliegereinheit, Flugzeugstaffel, Fliegerstaffel
авиакомпания	airline	Luftverkehrsgesellschaft
авиалиния	airline, air-route, airway	Fluglinie, Airline
авиаматка		Flugzeugmutterschiff
авиамаяк	air beacon	Flugfeuer, Flughafenbefeuerung
авиамоделизм	model aircraft construction	Modellflugzeugbau, Flugmodellbau
авиамодель	model aircraft	Modellflugzeug, Flugmodell, Flugzeugmodell
авианосец	aircraft carrier	Flugzeugträger
авиаотряд	squadron	Fliegereinsatzgruppe
авиапассажир	air passenger	Fluggast, Flugpassagier
авиаполк		Fliegerregiment, Regiment der Luftstreitkräfte, Luftwaffe…
авиапочта	air mail	Luftpost
авиапредприятие		Luftfahrtunternehmen, Fluggesellschaft
авиаразведка	air reconnaissance	Luftaufklärung, Flugzeugaufklärung, Flugaufklärungsdienst
авиасъёмка	aerial survey, aerial mapping	Luftbildaufnahme, Anfertigen von Luftbildern
авиатор	airman, aviator, pilot	Luftfahrer, Luftschiffer, Pilot
авиатранспорт	air transport	Lufttransport, Transport auf dem Luftweg, Luftgüterverkeh…
авиационный	aviation, aircraft	Flugzeug-, Flieger-, Flug-, Luft-
авиация	aviation, aircraft	Luftflotte, Luftfahrt, Flugwesen
авизо	letter of advice, aviso, advice boat	Avis, Aviso
авитаминоз	avitaminosis	Avitaminose, Vitaminmangelkrankheit, Vitaminunterversorgung
авось	perhaps, may be	vielleicht, eventuell (im Sinne von hoffentlich)
авоська	string-bag	Einkaufsnetz
аврал	work involving all hands, emergency job, rush job	Sondereinsatz
авральный	emergency	Sondereinsatz-, Überstunden-, hektisch
аврора	Aurora, aurora, dawn	Aurora
австралиец	Australian	Australier
австралийка	Australian	Australierin
австралийский	Australian	australisch
австриец	Austrian	Österreicher
австрийка	Austrian	Österreicherin
австрийский	Austrian	österreichisch
автаркия	autarchy	Autarkie
автобаза	motor depot	Fahrbereitschaft, Fuhrpark, Autowerkstatt
автобан	autobahn	Autobahn
автобиографический	autobiographic	autobiographisch
автобиографичность	autobiographical character	└ autobiographischer/autobiografischer┘ Charakter, Darste…
автобиографичный	autobiographic	└ autobiographisch/autobiografisch┘, └ autobiographische/…
автобиография	autobiography	Autobiographie, Lebenslauf
автоблокировка	automatic block system	Blockiersystem, Totmannsicherung/Tote-Mann-Sicherung, Fah…
автобус	bus, coach	Bus, Autobus, Omnibus
автобусный	Adjective of автобус	Autobus-, Bus-, Omnibus-
автовладелец		Autobesitzer
автовокзал	bus station	Busbahnhof
автогенный	autogenous	autogen
автогонщик	racing motorist, race-driver	Rennfahrer, Autorennfahrer
автодорога		Landstraße, Fahrstraße, Chaussee, Autostraße, Fernverkehr…
автодрезина	motor-trolley, motor-line-inspection-trolley	Motordraisine, Bahnmeisterwagen, Schienenkraftfahrzeug, G…
автозавод	car works, car factory, automobile plant	Autowerk
автоинспекция	motor licencing and inspection department, roadworthiness…	Verkehrsüberwachung, Verkehrsüberwachungsdienst, Verkehrs…
автокар	trolley	Motorkarren, Eidechse, Elektrokarren
автокатастрофа		Verkehrsunfall
автоклав	autoclave	Autoklav
автоколонна	autocade, motorcade	Autokolonne
автократический	autocratic	autokratisch, absolut
автократия	autocracy	Autokratie, Absolutismus, Alleinherrschaft
автолавка	mobile shop	fahrbarer Verkaufsstand, Verkaufswagen, Verkaufs-LKW
автолюбитель	motor-car enthusiast	Autoliebhaber
автомагистраль	motorway, motor highway	Autohauptverkehrsader (Autobahn), Schnellstraße, Fernverk…
автомат	automatic machine, slot-machine, vending machine, automaton	Automat
автоматизация	automation	Automatisierung
автоматизировать	automatize, introduce automation, automate	automatisieren
автоматизм	automatism	Automatismus
автоматика	automation, automated mechanisms, automatic machinery dev…	Automatik
автоматически	automatically, independently	automatisch
автоматический	automatic, self-acting, mechanical	automatisch, selbsttätig, Selbst-, mechanisch, unbewußt, …
автоматичный		automatisch, mechanisch
автоматный	Adjective of автомат	Automaten-
автоматчик	automated machines operator, sub-machine-gunner	MG-Schütze
автоматчица		Automatenbedienerin
автомашина	lorry, truck	Auto, Kraftwagen, Wagen
автомобилист	motorist	Kraftfahrer, Autofahrer
автомобилистка	motorist	Autofahrerin
автомобиль	car, motor car, automobile	Auto, Kraftwagen, Wagen
автомобильный	automobile	Auto-, Automobil-
автомобильчик		kleines Auto
автономия	autonomy, self-government	Autonomie
автономность		Autonomie, Selbstständigkeit/Selbständigkeit
автономный	autonomous	autonom
автопарк		Fahrzeugpark, Fuhrpark, Wagenpark
автопилот		Autopilot
автопогрузчик	fork-lift truck, autoloader	Gabelstapler
автопокрышка	tire-cover, tire	Autoreifen, Motorradreifen, Reifen, Decke, Mantel
автопортрет	self-portrait	Selbstbildnis
автоприцеп	trailer, caravan	Autoanhänger
автор	author, authoress, writer, composer, begetter	Autor, Verfasser, Komponist
авторемонтный	car repair service	Autoreparatur-
автореферат	abstract of thesis	Autoreferat
авторизация		Autorenidentifikation, Autorisierung
авторизовать	authorize	sich anmelden, sich einloggen, sein └ Kennwort / Passwort…
авторизоваться		sich anmelden / einloggen, sein └ Kennwort / Passwort / L…
авторитарный	authoritarian	autoritär
авторитет	authority	Autorität, Ansehen
авторитетный	authoritative, competent	maßgebend, kompetent
авторский	Adjective of автор	Autor-, Verfasser-
авторство	authorship	Autorenschaft, Urheberschaft
авторучка	fountain-pen	Füllhalter, Füller
автосалон		Automobilausstellung, Autosalon
автосервис	car service	Autoservice
автостоп	hitch hiking	Blockiersystem, Totmannsicherung/Tote-Mann-Sicherung, Fah…
автостоянка	parking lot	Parkplatz
автострада	motorway, motor highway, trunk-road, superhighway	Autobahn
автосцепка	automatic coupling	selbsttätige Kupplung
автотипия	autotype	Autotypie, Rasterätzung
автотранспорт	motor transport	Kraftverkehr, Autoverkehr, Autotransport
автотранспортный	motor transport	Kraftverkehrs, Straßenverkehrs-
автотрасса	motorway	Fahrstraße, Autostraße
автотуризм	motor-touring	Autotouristik
автотурист	motor-car tourist	Autotourist, Motortourist
автофургон	motor-van, pantechnicon, long-distance truck	Kastenwagen, Lieferwagen
автохтон	indigene, native, autochthons, aboriginals	Urbewohner, Alteingesessener, Bodenständiger / Autochthon
автоцистерна	tank-lorry, tank-truck	Tankwagen, Kesselwagen
агава	agave	Agave
агат	agate	Achat
агатовый	agate	Achat-
аггел		(gefallener) Engel
агглютинативный	agglutinative	Agglutinations-
агглютинация	agglutination	Agglutination
агент	agent	Agent, Kundschafter, Spion, Vertreter, Vermittler
агентство	agency	Agentur, Vertretung
агентура	agents	Nachrichtendienst, Geheimdienst, Agenten
агентурный	secret-service	Vermittelungs-, Agenturen-, Geheimdienst-
агитатор		Agitator
агитационный		Agitations-, agitatorisch
агитация		Agitation, Aufklärung, Propaganda
агитировать	campaign, agitate, keep up an agitation, carry on propaga…	überreden, überzeugen, einreden, bewegen (etwas zu tun), …
агитка	item of propaganda, propaganda play, propaganda book	Agitationsplakat, Propagandaplakat
агитпроп		Agitations- und Propagandaabteilung
агломерат	agglomerate, agglomeration	Agglomerat
агломерация	agglomeration	Agglomeration
агнец	lamb	Christ, Lamm Gottes
агностик	agnostic	Agnostiker
агностицизм	agnosticism	Agnostizismus
агностический	agnostic	agnostisch
агония	death-agony	Agonie, Todeskampf
аграрий	rich landowner	der Agrarier
аграрник		Agrarwissenschaftler, Landwirtschaftsspezialist
аграрный	agrarian	Boden-, Agrar-, agrarisch, landwirtschaftlich
агрегат	aggregate, aggregation, unit, assembly, set	Aggregat
агрегатирование		Kopplung, Verbund (von Maschinen und Anlagen)
агрегатировать		koppeln, kombinieren, im Verbund fahren, im Verbund nutze…
агрегатный		Aggregat-, Baugruppen-, Bauteil-
агрегирование		Aggregation
агрегировать		aggregieren, koppeln
агрессивно		aggressiv
агрессивность		Aggressivität
агрессивный	aggressive, belligerent	aggressiv, Aggressions-
агрессия	aggression	Aggression, Angriff, Aggressionsakt
агрессор	aggressor	Aggressor, Angreifer
агрикультура		Agrarwesen, Ackerbau, Agrikultur
агрикультурный		Landwirtschafts-
агробиологический	agrobiological	agrarbiologisch
агробиология	agricultural biology, agrobiology	Agrarbiologie, Agrobiologie
агрометеорологический		agrarmeteorologisch, landwirtschaftsmeteorologisch
агрометеорология	agricultural meteorology	Agrarmeteorologie, Landwirtschaftsmeteorologie
агроном	agriculturist, agronomist	Agronom, Landwirt
агрономический	agricultural, agronomical	agronomisch
агрономия	agronomics, agronomy, agricultural science	Agronomie
агрономша		Landwirtin (FS), Diplomlandwirtin, Agronom
агропромышленный	agroindustrial	Agrarindustrie-
агротехник	agricultural technician, agrotechnician	Landwirt, Landwirtschaftsfachmann
агротехника	agrotechnics	Agrotechnik
агротехнический	agrotechnical	landwirtschaftstechnisch
агрофизический	Agrophysical	agrophysikalisch
агрохимик		Agrarchemiker, Agrochemiker
агрохимический	Adjective of агрохимия	agrochemisch
агрохимия	agricultural chemistry	Pestizide und Insektizide
ад	hell, Hades, the Underworld	Hölle
адаптация	adaptation	Anpassung, Adaption
адаптер	adapter, pick-tip	Adapter, Anschlussstück, Angleichstück, Anschlusseinheit
адаптировать	adapt	adaptieren, (dem Kenntnisstand des Fremdsprachenlernens) …
адаптироваться	adapt	sich anpassen, sich adaptieren
адвербиальный	adverbial	adverbial
адвокат	advocate, barrister, solicitor, lawyer	Rechtsanwalt, Advokat
адвокатский		Anwalts-
адвокатство		Anwaltschaft, Anwaltstitel, anwaltliche Tätigkeit
адвокатствовать		Rechtsanwalt sein, als Rechtsanwalt tätig sein
адвокатура	profession of barrister, the Bar, the legal profession	Anwaltschaft, Rechtsanwaltschaft, Anwaltstätigkeit, Anwal…
адекватно		ausreichend, angemessen, adäquat
адекватность		Angemessenheit, Adäquatheit
адекватный	adequate	ausreichend, angemessen, adäquat
аденоид	adenoids	Adenoid
аденома	adenoma	Adenom, gutartige Geschwulst
адепт	adherent, follower	absoluter Anhänger, Verfechter, Vertreter einer Lehre
аджарец	Adzhar, Adzharian	Adshare
аджарка	Adzhar, Adzharian	Adsharin
аджарский	Adzharian	adsharisch
административно		administrativ
административный	administrative, managerial	administrativ, Verwaltungs-
администратор	administrator, manager, business manager	Verwalter, verantwortlicher Leiter, Geschäftsführer, Empf…
администраторша		Administratorin, Empfangschefin
администрация	administration, management, the management	Verwaltung, Administration
администрирование	administration	Administrieren
администрировать	run by means of orders and decrees	als Administrator tätig sein
адмирал	admiral	Admiral
адмиралтейский		Admiralitäts-
адмиралтейство	the Admiralty	Admiralität
адмиральский	Adjective of адмирал	Admirals-
адовый		Höllen-, höllisch
адоптировать	to adopt	adoptieren
адреналин	adrenalin	Adrenalin
адрес	address	Adresse, Anschrift, Grußadresse, Ehrenschreiben
адресант	sender	Adressant, Absender
адресат	addressee	Empfänger, Adressat
адресный	address	Adressen-, zielgenau, gezielt
адресовать	address, direct	richten
адресоваться	address oneself	sich wenden
адский	hellish, infernal, frightful, awful, terrible	höllisch, infernalisch
адсорбировать	adsorb	absorbieren
адсорбция	adsorption	Adsorption
адъюнкт	graduate, advanced student, junior scientific assistant	Adjunkt (Amtsgehilfe, "angebunden" -> Syntaxtheorie)
адъюнктура	graduate	Aspirantur einer Militärhochschule
адъютант	aide-de-camp, adjutant, aide	Adjutant
адъютантский		Adjutanten-
адыгеец	Adygei	Tscherkesse
адыгейка	Adygei	Einwohnerin von Adygien
адыгейский	Adygei	adygeisch
адюльтер	adultery	eheliche Untreue, Seitensprung
ажиотаж	rush, stir, hullabaloo	Affekt, Erregung, Hetze, Rummel
ажитация	excitement, alarm	Aufregung, Eifer, Affekt, Gemütserregung
ажур	open-work, up to date	à jour, mit dem Tag der Rechnungslegung, auf dem Laufenden
ажурный	open-work, delicate	durchbrochen, durchsichtig, Netz-, filigran
азалия	azalea	Azalee
азарт	heat, excitement, ardour, passion	Eifer, Leidenschaft
азартно	recklessly, heatedly, excitedly	leidenschaftlich, heftig, hitzig
азартный	reckless, excitable, hot-tempered, venturesome	leidenschaftlich, heftig, hitzig
азбука	alphabet, the ABC, ABC-book	Alphabet, Abc
азербайджанец	Azerbaijanian	Aserbaidschaner
азербайджанка	Azerbaijanian	Aserbaidschanerin
азербайджанский	Azerbaijan	aserbaidschanisch
азиат	asian	Asiat
азиатка		Asiatin
азиатский	Asian, Asiatic	asiatisch
азимут	azimuth	Azimut
азовский		Asow-
азот	nitrogen	Stickstoff
азотистый	nitrous	stickstoffhaltig
азотный	nitric	Stickstoff-
аист	stork	Storch
аистиха		Störchin
аистёнок		junger Storch
айва	quince, quince-tree	Quitte, Quittenbaum
айвовый	quince	Quitten-
академик	academician	Akademiemitglied
академист		Ruderer, Rudersportler
академический	academic	akademisch, Akademie-
академично		klassisch, klassischen Prinzipien verpflichtet
академичность	academic approach	akademischer Charakter
академичный	abstract, abstruse	klassisch, klassischen Prinzipien verpflichtet
академия	academy	Akademie
академка		Freisemester
акант	acanthus	Akanthus
аканье	akanje	Akanje
акать	fail to differentiate unstressed hack vowel-sounds in Rus…	verschiedene (unbetonte) Laute mit der Tendenz zum a spre…
акафист	acathistus	Akathist
акация	acacia	Akazie
акваланг	aqualung	Tauchgerät
аквалангист	skin-diver, scuba diver	Taucher, Tauchsportler, Sporttaucher
аквамарин	aquamarine	Aquamarin
аквамариновый	aquamarine	Aquamarin-
акварелист	water-colour painter, painter in water-colours	Aquarellmaler
акварелистка	water-colour painter, painter in water-colours	Aquarellmalerin
акварель	water-colour, water-colours	Aquarell, Aquarellbild, Aquarellfarbe, Wasserfarbe
аквариум	aquarium	Aquarium
аквариумный		Aquarien-
акватинта	aquatint	Aquatinta, Kupferstich
акватория	area of water	Wasserfläche, Meeresgebiet, Wasserbecken
акклиматизация	acclimatization	Akklimatisation
акклиматизировать	acclimatize	an die örtlichen Bedingungen gewöhnen, akklimatisieren
акклиматизироваться	acclimatize oneself	sich akklimatisieren
аккомодационный		Akkommodations-, Anpassungs-
аккомодация	accommodation, adjustment	Akkommodation
аккомодировать		akkommodieren, angleichen, anpassen
аккомпанемент	accompaniment	Begleitung
аккомпаниатор	accompanist	musikalischer Begleiter, Konzertpianist
аккомпанировать	accompany	begleiten
аккорд	chord	Akkord
аккордеон	accordion	Akkordeon
