# koodo word-structure pack v1 (forms) | MorphyNet eng v1, CC BY-SA 3.0, source: English Wiktionary | https://github.com/kbatsuren/MorphyNet
aardvarks	aardvark
absconders	absconder
abscotchalaters	abscotchalater
abseilers	abseiler
abseils	abseil
absentations	absentation
absented	absent
absenteeists	absenteeist
absentees	absentee
absenteeships	absenteeship
absenters	absenter
absenting	absent
absents	absent
absinthates	absinthate
absistences	absistence
absolutes	absolute
absolutisations	absolutisation
absolutised	absolutise
absolutises	absolutise
absolutising	absolutise
absolutists	absolutist
absolutives	absolutive
absolutized	absolutize
absolutizes	absolutize
absolutizing	absolutize
absolved	absolve
absolvers	absolver
absolves	absolve
absolving	absolve
absolvitors	absolvitor
absorbancies	absorbancy
absorbants	absorbant
absorbates	absorbate
absorbed	absorb
absorbefacients	absorbefacient
absorbents	absorbent
absorbing	absorb
absorbs	absorb
absorptances	absorptance
absorptiometers	absorptiometer
absorptionists	absorptionist
absorptives	absorptive
absorptivities	absorptivity
absquatulated	absquatulate
absquatulates	absquatulate
absquatulating	absquatulate
absquatulations	absquatulation
absquatulators	absquatulator
abstainers	abstainer
abstainments	abstainment
abstentionists	abstentionist
abstersed	absterse
absterses	absterse
abstersing	absterse
abstersives	abstersive
abstinents	abstinent
abstracted	abstract
abstracters	abstracter
abstractifications	abstractification
abstractified	abstractify
abstractifies	abstractify
abstractifying	abstractify
abstracting	abstract
abstractionists	abstractionist
abstractors	abstractor
abstracts	abstract
absurds	absurd
abugidas	abugida
abused	abuse
abusees	abusee
abusers	abuser
abuses	abuse
abusing	abuse
abuts	abut
abuttals	abuttal
abutted	abut
abutters	abutter
abutting	abut
abuttings	abutting
abvolts	abvolt
abwatts	abwatt
abying	aby
abys	aby
abysms	abysm
abysses	abyss
abyssoliths	abyssolith
acaciins	acaciin
academes	academe
academians	academian
academicals	academical
academicians	academician
academicised	academicise
academicises	academicise
academicising	academicise
academicized	academicize
academicizes	academicize
academicizing	academicize
academics	academic
academies	academy
academisms	academism
academized	academize
academizes	academize
academizing	academize
acadialites	acadialite
acalculiacs	acalculiac
acanthocytes	acanthocyte
acanthodids	acanthodid
acanthologies	acanthology
acanthostrongyles	acanthostrongyle
acanthostyles	acanthostyle
acanths	acanth
acapulcoites	acapulcoite
acarians	acarian
acaricides	acaricide
acarids	acarid
acarologists	acarologist
acceded	accede
acceders	acceder
accedes	accede
acceding	accede
accelerated	accelerate
accelerates	accelerate
accelerating	accelerate
acceleratings	accelerating
accelerationists	accelerationist
accelerators	accelerator
accelerometers	accelerometer
acceleromyographs	acceleromyograph
accentologists	accentologist
accentors	accentor
accentuated	accentuate
accentuates	accentuate
accentuating	accentuate
accentuators	accentuator
acceptants	acceptant
acceptees	acceptee
accepters	accepter
acceptions	acception
acceptors	acceptor
acceptresses	acceptress
accessaries	accessary
accessed	access
accesses	access
accessing	access
accessorials	accessorial
accessories	accessory
accessorised	accessorise
accessorises	accessorise
accessorising	accessorise
accessorists	accessorist
accessorized	accessorize
accessorizes	accessorize
accessorizing	accessorize
accessors	accessor
accidentalists	accidentalist
accidentals	accidental
accidentologists	accidentologist
accipiters	accipiter
accipitrines	accipitrine
acclaimers	acclaimer
acclimated	acclimate
acclimatements	acclimatement
acclimates	acclimate
acclimating	acclimate
acclimatised	acclimatise
acclimatisers	acclimatiser
acclimatises	acclimatise
acclimatising	acclimatise
acclimatized	acclimatize
acclimatizers	acclimatizer
acclimatizes	acclimatize
acclimatizing	acclimatize
acclimators	acclimator
acclivities	acclivity
accommodated	accommodate
accommodates	accommodate
accommodating	accommodate
accommodationists	accommodationist
accommodators	accommodator
accompanied	accompany
accompaniers	accompanier
accompanies	accompany
accompanists	accompanist
accompanying	accompany
accompanyings	accompanying
accompanyists	accompanyist
accompassed	accompass
accompasses	accompass
accompassing	accompass
accomplished	accomplish
accomplishers	accomplisher
accomplishes	accomplish
accomplishing	accomplish
accorders	accorder
accordioned	accordion
accordioning	accordion
accordionists	accordionist
accordions	accordion
accordments	accordment
accosted	accost
accosters	accoster
accosting	accost
accostments	accostment
accosts	accost
accouched	accouche
accouches	accouche
accoucheurs	accoucheur
accouching	accouche
accountantships	accountantship
accounted	account
accounters	accounter
accounting	account
accounts	account
accoupled	accouple
accouples	accouple
accoupling	accouple
accoutred	accoutre
accoutrements	accoutrement
accoutres	accoutre
accoutring	accoutre
accreditives	accreditive
accreditments	accreditment
accreted	accrete
accreters	accreter
accretes	accrete
accreting	accrete
accretors	accretor
accriminated	accriminate
accriminates	accriminate
accriminating	accriminate
accriminations	accrimination
accroached	accroach
accroaches	accroach
accroaching	accroach
accroachments	accroachment
accrued	accrue
accruements	accruement
accruers	accruer
accrues	accrue
accruing	accrue
acculturated	acculturate
acculturates	acculturate
acculturating	acculturate
accultured	acculture
accultures	acculture
acculturing	acculture
accumulated	accumulate
accumulates	accumulate
accumulating	accumulate
accumulators	accumulator
accurized	accurize
accurizes	accurize
accurizing	accurize
accursed	accurse
accurses	accurse
accursing	accurse
accusants	accusant
accusatives	accusative
accused	accuse
accusees	accusee
accusements	accusement
accuseresses	accuseress
accusers	accuser
accuses	accuse
accusing	accuse
accusings	accusing
accusors	accusor
accustomed	accustom
accustoming	accustom
accustomizations	accustomization
accustomized	accustomize
accustomizes	accustomize
accustomizing	accustomize
accustoms	accustom
aced	ace
acellularized	acellularize
acellularizes	acellularize
acellularizing	acellularize
acenes	acene
acephalists	acephalist
acephalocysts	acephalocyst
acephals	acephal
acerates	acerate
acerbated	acerbate
acerbates	acerbate
acerbating	acerbate
acervated	acervate
acervates	acervate
acervating	acervate
acervations	acervation
aces	ace
acetalised	acetalise
acetalises	acetalise
acetalising	acetalise
acetalizations	acetalization
acetalized	acetalize
acetalizes	acetalize
acetalizing	acetalize
acetals	acetal
acetamidases	acetamidase
acetamides	acetamide
acetates	acetate
acetified	acetify
acetifiers	acetifier
acetifies	acetify
acetifying	acetify
acetoacetates	acetoacetate
acetoacetyls	acetoacetyl
acetoamides	acetoamide
acetoarsenites	acetoarsenite
acetokinases	acetokinase
acetolactates	acetolactate
acetonides	acetonide
acetonitriles	acetonitrile
acetoxylations	acetoxylation
acetylases	acetylase
acetylated	acetylate
acetylates	acetylate
acetylating	acetylate
acetylations	acetylation
acetylators	acetylator
acetylgalactosaminyls	acetylgalactosaminyl
acetylhexosaminidases	acetylhexosaminidase
acetylhydrolases	acetylhydrolase
acetylides	acetylide
acetylneuraminates	acetylneuraminate
acetylomes	acetylome
acetylpolyamines	acetylpolyamine
acetylproteomes	acetylproteome
acetyls	acetyl
acetyltransferases	acetyltransferase
ached	ache
achenes	achene
aches	ache
achier	achy
achiest	achy
achieved	achieve
achievers	achiever
achieves	achieve
achieving	achieve
achievings	achieving
achillotomies	achillotomy
aching	ache
achings	aching
achondroplasics	achondroplasic
achromophils	achromophil
acidheads	acidhead
acidified	acidify
acidifiers	acidifier
acidifies	acidify
acidifying	acidify
acidimeters	acidimeter
acidised	acidise
acidises	acidise
acidising	acidise
acidized	acidize
acidizes	acidize
acidizing	acidize
acidoids	acidoid
acidometers	acidometer
acidothermophiles	acidothermophile
acing	ace
acknew	acknow
acknowing	acknow
acknowledged	acknowledge
acknowledgers	acknowledger
acknowledges	acknowledge
acknowledging	acknowledge
acknowledgings	acknowledging
acknown	acknow
acknows	acknow
acmeists	Acmeist
acmes	acme
acnodes	acnode
acoelomates	acoelomate
acolytates	acolytate
acolytes	acolyte
aconitates	aconitate
acontias	acontia
acorns	acorn
acotyledons	acotyledon
acousticians	acoustician
acoustics	acoustic
acquaintants	acquaintant
acquiesced	acquiesce
acquiesces	acquiesce
acquiescing	acquiesce
acquired	acquire
acquirees	acquiree
acquirers	acquirer
acquires	acquire
acquiries	acquiry
acquiring	acquire
acquitments	acquitment
acquits	acquit
acquittanced	acquittance
acquittances	acquittance
acquittancing	acquittance
acquitted	acquit
acquitters	acquitter
acquitting	acquit
acres	acre
acridians	acridian
acridiniums	acridinium
acrobats	acrobat
acrocephalics	acrocephalic
acrocontractures	acrocontracture
acrocoracoids	acrocoracoid
acrolects	acrolect
acroliths	acrolith
acromegaliacs	acromegaliac
acromegalics	acromegalic
acromegalies	acromegaly
acromegaloidisms	acromegaloidism
acromioplasties	acromioplasty
acronymed	acronym
acronyming	acronym
acronymised	acronymise
acronymises	acronymise
acronymising	acronymise
acronymists	acronymist
acronymized	acronymize
acronymizes	acronymize
acronymizing	acronymize
acronyms	acronym
acrophases	acrophase
acrophiles	acrophile
acrophones	acrophone
acrophonies	acrophony
acrophores	acrophore
acrosomes	acrosome
acrospores	acrospore
acrosses	across
acrostealgias	acrostealgia
acrylamides	acrylamide
acrylates	acrylate
acrylations	acrylation
acrylics	acrylic
actants	actant
actemes	acteme
acters	acter
actinates	actinate
actinides	actinide
actinogranulomas	actinogranuloma
actinologists	actinologist
actinomycetes	actinomycete
actinorhizals	actinorhizal
actinosteles	actinostele
actionees	actionee
actioners	actioner
actionfests	actionfest
actionisms	actionism
actionists	actionist
actionized	actionize
actionizes	actionize
actionizing	actionize
actionlets	actionlet
activases	activase
activated	activate
activaters	activater
activates	activate
activating	activate
activationists	activationist
activators	activator
actives	active
activists	activist
activized	activize
activizes	activize
activizing	activize
actons	Acton
actoresses	actoress
actorines	actorine
actualisations	actualisation
actualisms	actualism
actualists	actualist
actualized	actualize
actualizers	actualizer
actualizes	actualize
actualizing	actualize
actuals	actual
actuaries	actuary
actuated	actuate
actuates	actuate
actuating	actuate
acuities	acuity
aculeates	aculeate
acuminated	acuminate
acuminates	acuminate
acuminating	acuminate
acuminations	acumination
acupoints	acupoint
acupressurists	acupressurist
acupunctuated	acupunctuate
acupunctuates	acupunctuate
acupunctuating	acupunctuate
acupunctured	acupuncture
acupunctures	acupuncture
acupuncturing	acupuncture
acupuncturists	acupuncturist
acustimulations	acustimulation
acuted	acute
acutes	acute
acuting	acute
acylamides	acylamide
acylases	acylase
acylated	acylate
acylates	acylate
acylating	acylate
acylations	acylation
acylglycerols	acylglycerol
acyliums	acylium
acyls	acyl
adages	adage
adamantanes	adamantane
adamants	adamant
adamantyls	adamantyl
adambulacrals	adambulacral
adamites	Adamite
adaptationists	adaptationist
adapters	adapter
adaptors	adaptor
adatoms	adatom
adaxialized	adaxialize
adaxializes	adaxialize
adaxializing	adaxialize
adbots	adbot
addables	addable
added	add
adders	adder
addicted	addict
addicting	addict
addictionologists	addictionologist
addictives	addictive
addictologists	addictologist
addicts	addict
addies	addy
adding	add
additionalities	additionality
additionals	additional
additives	additive
addled	addle
addles	addle
addling	addle
addressabilities	addressability
addressed	address
addressees	addressee
addressers	addresser
addresses	address
addressing	address
addressivities	addressivity
adds	add
adduced	adduce
adducers	adducer
adduces	adduce
adducing	adduce
adducted	adduct
adducting	adduct
adductomes	adductome
adducts	adduct
adeles	adele
adenectomies	adenectomy
adenoameloblastomas	adenoameloblastoma
adenocancers	adenocancer
adenochondromas	adenochondroma
adenoepitheliomas	adenoepithelioma
adenofibromyomas	adenofibromyoma
adenoidectomies	adenoidectomy
adenoiditises	adenoiditis
adenoids	adenoid
adenolipomas	adenolipoma
adenolymphoceles	adenolymphocele
adenomectomies	adenomectomy
adenomyosarcomas	adenomyosarcoma
adenosines	adenosine
adenosyls	adenosyl
adenotomies	adenotomy
adenotonsillectomies	adenotonsillectomy
adenotonsillectomized	adenotonsillectomize
adenotonsillectomizes	adenotonsillectomize
adenotonsillectomizing	adenotonsillectomize
adenovectors	adenovector
adenovirions	adenovirion
adenylated	adenylate
adenylates	adenylate
adenylating	adenylate
adenylations	adenylation
adenylpyrophosphatases	adenylpyrophosphatase
adenyls	adenyl
adenylylated	adenylylate
adenylylates	adenylylate
adenylylating	adenylylate
adenylylations	adenylylation
adenylyls	adenylyl
adeptists	adeptist
adepts	adept
adequated	adequate
adequates	adequate
adequating	adequate
adessives	adessive
adhered	adhere
adherents	adherent
adherers	adherer
adheres	adhere
adhering	adhere
adhesiotomies	adhesiotomy
adhesives	adhesive
adhesomes	adhesome
adhocracies	adhocracy
adhocrats	adhocrat
adiabolists	adiabolist
adipates	adipate
adipocerated	adipocerate
adipocerates	adipocerate
adipocerating	adipocerate
adipochemokines	adipochemokine
adipocytes	adipocyte
adipofibroblasts	adipofibroblast
adipohemocytes	adipohemocyte
adipohormones	adipohormone
adipomyokines	adipomyokine
adiposities	adiposity
adiposomes	adiposome
adjacents	adjacent
adjections	adjection
adjectivals	adjectival
adjectived	adjective
adjectives	adjective
adjectiving	adjective
adjectivised	adjectivise
adjectivises	adjectivise
adjectivising	adjectivise
adjectivized	adjectivize
adjectivizes	adjectivize
adjectivizing	adjectivize
adjoints	adjoint
adjourners	adjourner
adjudged	adjudge
adjudgements	adjudgement
adjudgers	adjudger
adjudges	adjudge
adjudging	adjudge
adjudicated	adjudicate
adjudicates	adjudicate
adjudicating	adjudicate
adjudicators	adjudicator
adjuments	adjument
adjunctives	adjunctive
adjuncts	adjunct
adjured	adjure
adjurers	adjurer
adjures	adjure
adjuring	adjure
adjustables	adjustable
adjustages	adjustage
adjusters	adjuster
adjustings	adjusting
adjustors	adjustor
adjustresses	adjustress
adjutancies	adjutancy
adjutants	adjutant
adjuvantations	adjuvantation
adjuvants	adjuvant
adjuvated	adjuvate
adjuvates	adjuvate
adjuvating	adjuvate
adlets	adlet
admeasured	admeasure
admeasurers	admeasurer
admeasures	admeasure
admeasuring	admeasure
admined	admin
admining	admin
administerers	administerer
administrated	administrate
administrates	administrate
administrating	administrate
administrators	administrator
administratresses	administratress
administresses	administress
admins	admin
admiralcies	admiralcy
admiralesses	admiraless
admirals	admiral
admiralships	admiralship
admiratives	admirative
admired	admire
admirers	admirer
admires	admire
admiring	admire
admirings	admiring
admissibilities	admissibility
admits	admit
admitted	admit
admittees	admittee
admitters	admitter
admitting	admit
admittings	admitting
admixed	admix
admixes	admix
admixing	admix
admonished	admonish
admonishers	admonisher
admonishes	admonish
admonishing	admonish
admonishings	admonishing
admonitioners	admonitioner
admonitions	admonition
adnations	adnation
adnexectomies	adnexectomy
adnominalized	adnominalize
adnominalizers	adnominalizer
adnominalizes	adnominalize
adnominalizing	adnominalize
adnominals	adnominal
adnouns	adnoun
adolescents	adolescent
adonised	adonise
adonises	adonise
adonising	adonise
adonized	adonize
adonizes	adonize
adonizing	adonize
adoptables	adoptable
adoptees	adoptee
adopters	adopter
adoptionists	adoptionist
adoptors	adoptor
adored	adore
adorers	adorer
adores	adore
adoring	adore
adorings	adoring
adorners	adorner
adornings	adorning
adoxographers	adoxographer
adpositions	adposition
adrawing	adraw
adrawn	adraw
adraws	adraw
adreed	adree
adreeing	adree
adrees	adree
adrenalectomized	adrenalectomize
adrenalectomizes	adrenalectomize
adrenalectomizing	adrenalectomize
adrenalised	adrenalise
adrenalises	adrenalise
adrenalising	adrenalise
adrenalized	adrenalize
adrenalizes	adrenalize
adrenalizing	adrenalize
adrenals	adrenal
adrenergics	adrenergic
adrenocarcinomas	adrenocarcinoma
adrenoceptors	adrenoceptor
adrenocorticosteroids	adrenocorticosteroid
adrenomimetics	adrenomimetic
adrenoreceptors	adrenoreceptor
adrew	adraw
ads	ad
adsorbates	adsorbate
adsorbers	adsorber
adsorptives	adsorptive
adularias	adularia
adulated	adulate
adulates	adulate
adulating	adulate
adulators	adulator
adulatresses	adulatress
adulted	adult
adulterated	adulterate
adulterates	adulterate
adulterating	adulterate
adulterations	adulteration
adulterators	adulterator
adulterized	adulterize
adulterizes	adulterize
adulterizing	adulterize
adulticided	adulticide
adulticides	adulticide
adulticiding	adulticide
adultified	adultify
adultifies	adultify
adultifying	adultify
adulting	adult
adultized	adultize
adultizes	adultize
adultizing	adultize
adultoids	adultoid
adultophiles	adultophile
adultresses	adultress
adults	adult
adumbrated	adumbrate
adumbrates	adumbrate
adumbrating	adumbrate
advanced	advance
advancers	advancer
advances	advance
advancing	advance
advancings	advancing
advantaged	advantage
advantages	advantage
advantaging	advantage
advaunced	advaunce
advauncers	advauncer
advaunces	advaunce
advauncing	advaunce
advents	Advent
adventured	adventure
adventurements	adventurement
adventurers	adventurer
adventures	adventure
adventuresses	adventuress
adventuring	adventure
adventurists	adventurist
adverbed	adverb
adverbialists	adverbialist
adverbialized	adverbialize
adverbializers	adverbializer
adverbializes	adverbialize
adverbializing	adverbialize
adverbials	adverbial
adverbing	adverb
adverbized	adverbize
adverbizes	adverbize
adverbizing	adverbize
adverbs	adverb
advergames	advergame
adversaries	adversary
adversatives	adversative
adverser	adverse
adversest	adverse
adverted	advert
adverting	advert
advertised	advertise
advertisees	advertisee
advertisers	advertiser
advertises	advertise
advertising	advertise
advertized	advertize
advertizements	advertizement
advertizers	advertizer
advertizes	advertize
advertizing	advertize
adverts	advert
advicelines	adviceline
advised	advise
advisees	advisee
advisers	adviser
adviserships	advisership
advises	advise
advising	advise
advisings	advising
advisoresses	advisoress
advisories	advisory
advisors	advisor
advocated	advocate
advocaters	advocater
advocates	advocate
advocateships	advocateship
advocatesses	advocatess
advocating	advocate
advocators	advocator
advocatresses	advocatress
advoutrers	advoutrer
advoutresses	advoutress
adzed	adze
adzes	adze
adzing	adze
aediles	aedile
aedileships	aedileship
aeolianites	aeolianite
aeons	aeon
aerated	aerate
aerates	aerate
aerating	aerate
aerators	aerator
aerialists	aerialist
aerials	aerial
aerier	aery
aeries	aery
aeriest	aery
aerified	aerify
aerifies	aerify
aerifying	aerify
aeroallergens	aeroallergen
aeroallergies	aeroallergy
aeroantigens	aeroantigen
aerobeacons	aerobeacon
aerobes	aerobe
aerobicised	aerobicise
aerobicises	aerobicise
aerobicising	aerobicise
aerobicized	aerobicize
aerobicizes	aerobicize
aerobicizing	aerobicize
aerobiologists	aerobiologist
aeroboats	aeroboat
aerobombs	aerobomb
aerobraked	aerobrake
aerobrakes	aerobrake
aerobraking	aerobrake
aerobridges	aerobridge
aerocaptures	aerocapture
aeroclubs	aeroclub
aerocurves	aerocurve
aerocysts	aerocyst
aerodiameters	aerodiameter
aerodromes	aerodrome
aeroducts	aeroduct
aerodynamicists	aerodynamicist
aerodynes	aerodyne
aeroembolisms	aeroembolism
aeroengineers	aeroengineer
aerofoils	aerofoil
aerogenerators	aerogenerator
aerographers	aerographer
aeroguns	aerogun
aerolites	aerolite
aeroliths	aerolith
aerologists	aerologist
aeromechanics	aeromechanic
aerometeorographs	aerometeorograph
aeromodellers	aeromodeller
aeromodels	aeromodel
aeronauts	aeronaut
aeronomists	aeronomist
aeroparks	aeropark
aeropauses	aeropause
aerophares	aerophare
aerophiles	aerophile
aerophones	aerophone
aerophytes	aerophyte
aeroplaned	aeroplane
aeroplanes	aeroplane
aeroplaning	aeroplane
aeroplanists	aeroplanist
aeropulses	aeropulse
aeroshells	aeroshell
aerosiderites	aerosiderite
aerosiderolites	aerosiderolite
aerosoled	aerosol
aerosoling	aerosol
aerosolised	aerosolise
aerosolisers	aerosoliser
aerosolises	aerosolise
aerosolising	aerosolise
aerosolized	aerosolize
aerosolizes	aerosolize
aerosolizing	aerosolize
aerosols	aerosol
aerospheres	aerosphere
aerotherapies	aerotherapy
aerotrekkers	aerotrekker
aerovanes	aerovane
aeroyachts	aeroyacht
aesthesioneuroblastomas	aesthesioneuroblastoma
aesthetes	aesthete
aestheticians	aesthetician
aestheticised	aestheticise
aestheticises	aestheticise
aestheticising	aestheticise
aestheticists	aestheticist
aestheticized	aestheticize
aestheticizes	aestheticize
aestheticizing	aestheticize
aesthetics	aesthetic
aestivated	aestivate
aestivates	aestivate
aestivating	aestivate
aestivators	aestivator
aetheogams	aetheogam
aetiologists	aetiologist
afared	afare
afares	afare
afaring	afare
affairs	affair
affamished	affamish
affamishes	affamish
affamishing	affamish
affectationists	affectationist
affected	affect
affecteds	affected
affectees	affectee
affecters	affecter
affecting	affect
affectionated	affectionate
affectionates	affectionate
affectionating	affectionate
affectioned	affection
affectioning	affection
affections	affection
affectors	affector
affects	affect
affeerers	affeerer
affeerments	affeerment
afferentations	afferentation
afferents	afferent
affianced	affiance
affiancers	affiancer
affiances	affiance
affiancing	affiance
affiliated	affiliate
affiliates	affiliate
affiliating	affiliate
affined	affine
affines	affine
affining	affine
affinitions	affinition
affinizations	affinization
affinized	affinize
affinizes	affinize
affinizing	affinize
affirmants	affirmant
affirmatives	affirmative
affirmativists	affirmativist
affirmers	affirmer
affirmings	affirming
affixations	affixation
affixed	affix
affixers	affixer
affixes	affix
affixing	affix
affixoids	affixoid
afflictees	afflictee
afflicters	afflicter
afflictings	afflicting
afflictresses	afflictress
affluents	affluent
afforced	afforce
afforcements	afforcement
afforces	afforce
afforcing	afforce
affordances	affordance
afforders	afforder
affordments	affordment
affrayers	affrayer
affreighters	affreighter
affreightments	affreightment
affricated	affricate
affricates	affricate
affricating	affricate
affricatives	affricative
affrighted	affright
affrighters	affrighter
affrighting	affright
affrights	affright
affronted	affront
affrontees	affrontee
affronters	affronter
affronting	affront
affrontings	affronting
affronts	affront
afghanites	afghanite
afghans	Afghan
afgods	afgod
aflagellates	aflagellate
aflatoxins	aflatoxin
aflatoxisomes	aflatoxisome
afrodescendants	Afrodescendant
afrofuturists	Afrofuturist
afrormosias	afrormosia
afros	afro
aftarms	aftarm
aftcastles	aftcastle
afterbays	afterbay
afterbears	afterbear
afterbeats	afterbeat
afterbirths	afterbirth
afterbites	afterbite
afterbodies	afterbody
afterbrains	afterbrain
afterburdens	afterburden
afterburners	afterburner
afterbursts	afterburst
afterburthens	afterburthen
aftercabins	aftercabin
aftercalls	aftercall
aftercastles	aftercastle
aftercasts	aftercast
aftercataracts	aftercataract
afterclaps	afterclap
aftercomers	aftercomer
aftercomes	aftercome
aftercomings	aftercoming
aftercontractions	aftercontraction
aftercoolers	aftercooler
aftercosts	aftercost
aftercourses	aftercourse
aftercrimes	aftercrime
aftercrops	aftercrop
afterdecks	afterdeck
afterdepolarizations	afterdepolarization
afterdischarges	afterdischarge
aftereffects	aftereffect
aftereggs	afteregg
afterfeasts	afterfeast
afterfeathers	afterfeather
afterfruits	afterfruit
aftergames	aftergame
aftergrowths	aftergrowth
afterguards	afterguard
afterimages	afterimage
afterimpressions	afterimpression
afterlings	afterling
afterlooks	afterlook
aftermarketed	aftermarket
aftermarketing	aftermarket
aftermarkets	aftermarket
aftermaths	aftermath
afterminds	aftermind
aftermovements	aftermovement
afternames	aftername
afternoons	afternoon
afternotes	afternote
afterpains	afterpain
afterparties	afterparty
afterparts	afterpart
afterpeaks	afterpeak
afterpieces	afterpiece
afterpotentials	afterpotential
afterpulses	afterpulse
aftersaw	aftersee
afterscripts	afterscript
afterseeing	aftersee
afterseen	aftersee
aftersees	aftersee
aftersensations	aftersensation
aftersets	afterset
aftershafts	aftershaft
aftershows	aftershow
aftersigns	aftersign
afterslips	afterslip
aftersounds	aftersound
afterstories	afterstory
afterstrokes	afterstroke
afterswarms	afterswarm
aftertales	aftertale
aftertastes	aftertaste
aftertests	aftertest
afterthinking	afterthink
afterthinks	afterthink
afterthought	afterthink
afterthoughted	afterthought
afterthoughting	afterthought
afterthoughts	afterthought
aftertimes	aftertime
aftertypes	aftertype
